Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Species;Visits_nb;Management
1;cornuta;apple;1095;15/04/2019;21/04/2019;6;1;20;O.bicornis;1;conventional
1;cornuta;apple;1095;15/04/2019;30/04/2019;15;2;100;O.bicornis;0;conventional
1;cornuta;apple;1095;15/04/2019;02/05/2019;17;1;-80;O.bicornis;0;conventional
1;bicornis;apple;1285;15/04/2019;23/04/2019;8;1;20;O.bicornis;1;conventional
1;bicornis;apple;1285;15/04/2019;30/04/2019;15;2;100;O.bicornis;0;conventional
1;bicornis;apple;1285;15/04/2019;02/05/2019;17;1;-80;O.bicornis;1;conventional
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;B.terrestris;0;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;B.terrestris;5;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;B.terrestris;8;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;B.terrestris;2;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;B.terrestris;8;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;B.terrestris;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;B.terrestris;6;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;B.terrestris;12;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;B.terrestris;2;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;B.terrestris;2;organic
7;bicornis;apple;885;18/04/2019;01/05/2019;13;1;100;B.terrestris;2;organic
7;bicornis;0;885;18/04/2019;06/05/2019;18;3;-80;B.terrestris;0;organic
4;cornuta;apple;1465;15/04/2019;19/04/2019;4;1;20;B.terrestris;0;conventional
4;cornuta;apple;1465;15/04/2019;21/04/2019;6;1;20;B.terrestris;0;conventional
4;cornuta;apple;1465;15/04/2019;25/04/2019;10;1;100;B.terrestris;0;conventional
4;cornuta;apple;1465;15/04/2019;30/04/2019;15;2;-80;B.terrestris;0;conventional
4;bicornis;apple;1530;15/04/2019;21/04/2019;6;1;20;B.terrestris;0;conventional
4;bicornis;apple;1530;15/04/2019;25/04/2019;10;1;100;B.terrestris;0;conventional
4;bicornis;apple;1530;15/04/2019;30/04/2019;15;2;-80;B.terrestris;0;conventional
1;cornuta;apple;1095;15/04/2019;21/04/2019;6;1;20;B.terrestris;0;conventional
1;cornuta;apple;1095;15/04/2019;30/04/2019;15;2;100;B.terrestris;0;conventional
1;cornuta;apple;1095;15/04/2019;02/05/2019;17;1;-80;B.terrestris;0;conventional
1;bicornis;apple;1285;15/04/2019;23/04/2019;8;1;20;B.terrestris;0;conventional
1;bicornis;apple;1285;15/04/2019;30/04/2019;15;2;100;B.terrestris;1;conventional
1;bicornis;apple;1285;15/04/2019;02/05/2019;17;1;-80;B.terrestris;0;conventional
6;cornuta;apple;903;18/04/2019;22/04/2019;4;1;20;Wildbee;1;organic
6;cornuta;apple;903;18/04/2019;01/05/2019;13;1;100;Wildbee;2;organic
6;cornuta;apple;903;18/04/2019;06/05/2019;18;3;-80;Wildbee;0;organic
6;bicornis;apple;610;18/04/2019;22/04/2019;4;1;20;Wildbee;0;organic
6;bicornis;apple;610;18/04/2019;01/05/2019;13;1;100;Wildbee;4;organic
6;bicornis;apple;610;18/04/2019;06/05/2019;18;3;-80;Wildbee;0;organic
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;Wildbee;0;organic
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;Wildbee;0;organic
7;cornuta;apple;635;18/04/2019;06/05/2019;18;3;-80;Wildbee;0;organic
7;bicornis;apple;885;18/04/2019;22/04/2019;4;1;20;Wildbee;0;organic
7;bicornis;apple;885;18/04/2019;01/05/2019;13;1;100;Wildbee;0;organic
7;bicornis;0;885;18/04/2019;06/05/2019;18;3;-80;Wildbee;0;organic
4;cornuta;apple;1465;15/04/2019;19/04/2019;4;1;20;Wildbee;0;conventional
